iter	Passed	Remaining
332	150699	301851
333	151117	301329
334	151529	300796
335	151941	300266
336	152418	299862
337	152900	299467
338	153340	298991
339	153750	298457
340	154191	297982
341	154588	297424
342	155032	296956
343	155519	296572
344	155968	296113
345	156390	295605
346	156803	295080
347	157220	294561
348	157684	294134
349	158148	293703
350	158665	293373
351	159073	292840
352	159492	292326
353	159947	291882
354	160464	291548
355	160947	291152
356	161369	290645
357	161773	290106
358	162192	289596
359	162612	289089
360	163033	288583
361	163467	288100
362	163954	287711
363	164360	287179
364	164801	286708
365	165279	286302
366	165714	285823
367	166133	285316
368	166635	284950
369	167117	284551
370	167538	284047
371	167990	283597
372	168496	283236
373	168924	282744
374	169349	282249
375	169826	281839
376	170337	281486
377	170735	280945
378	171177	280477
379	171596	279973
380	172055	279533
381	172454	278997
382	172888	278517
383	173343	278071
384	173781	277599
385	174241	277160
386	174615	276586
387	175117	276216
388	175531	275707
389	175939	275186
390	176375	274712
391	176807	274232
392	177211	273708
393	177677	273279
394	178119	272816
395	178593	272399
396	178999	271880
397	179403	271358
398	179923	271013
399	180445	270668
400	180907	270233
401	181394	269835
402	181898	269462
403	182417	269110
404	182918	268732
405	183412	268342
406	183904	267949
407	184312	267433
408	184733	266938
409	185189	266492
410	185697	266121
411	186158	265683
412	186604	265222
413	187030	264733
414	187438	264220
415	187859	263725
416	188282	263233
417	188688	262719
418	189112	262230
419	189563	261777
420	190063	261393
421	190494	260914
422	190970	260496
423	191472	260113
424	191967	259720
425	192380	259217
426	192807	258732
427	193240	258256
428	193707	257824
429	194127	257331
430	194621	256937
431	195156	256594
432	195649	256196
433	196057	255688
434	196477	255194
435	196888	254691
436	197285	254168
437	197710	253683
438	198173	253246
439	198572	252728
440	198989	252233
441	199415	251751
442	199857	251288
443	200331	250865
444	200738	250359
445	201195	249915
446	201620	249432
447	202049	248953
448	202505	248509
449	202994	248104
450	203463	247675
451	203873	247174
452	204296	246688
453	204834	246342
454	205339	245955
455	205795	245510
456	206187	244989
457	206605	244498
458	207019	244003
459	207472	243554
460	207905	243082
461	208341	242614
462	208792	242162
463	209210	241674
464	209604	241157
465	210118	240779
466	210557	240314
467	211026	239884
468	211447	239400
469	211858	238904
470	212312	238457
471	212728	237967
472	213182	237520
473	213620	237055
474	214033	236563
475	214472	236099
476	214920	235646
477	215397	235224
478	215865	234793
479	216318	234344
480	216833	233963
481	217241	233467
482	217730	233057
483	218262	232692
484	218749	232279
485	219163	231790
486	219599	231322
487	220128	230954
488	220564	230487
489	221039	230061
490	221446	229564
491	221884	229100
492	222333	228647
493	222768	228179
494	223267	227777
495	223695	227303
496	224181	226888
497	224640	226444
498	225094	225996
499	225609	225609
500	226088	225185
501	226574	224769
502	227045	224337
503	227742	224127
504	228288	223768
505	228887	223459
506	229754	223410
507	230376	223120
508	230814	222652
509	231302	222231
510	231782	221803
511	232275	221387
512	233120	221305
513	233703	220972
514	234366	220713
515	234989	220416
516	235555	220064
517	236063	219657
518	236545	219226
519	237012	218781
520	237519	218371
521	237990	217929
522	238480	217505
523	238960	217071
524	239404	216604
525	239809	216102
526	240248	215630
527	240680	215153
528	241107	214671
529	241567	214220
530	242002	213745
531	242462	213294
532	242933	212851
533	243429	212430
534	243899	211987
535	244392	211563
536	244871	211127
537	245334	210677
538	245787	210218
539	246319	209828
540	246772	209368
541	247363	209026
542	247932	208665
543	248371	208193
544	248773	207691
545	249225	207231
546	249658	206755
547	250127	206309
548	250586	205855
549	250989	205355
550	251437	204892
551	251873	204418
552	252392	204013
553	252860	203566
554	253321	203113
555	253773	202653
556	254278	202235
557	254776	201812
558	255231	201354
559	255726	200927
560	256205	200488
561	256693	200056
562	257191	199631
563	257719	199229
564	258309	198875
565	258851	198483
566	259347	198055
567	259931	197694
